phase,x_m,y_m,reachable,detection_probability,geometry_score,passes_coarse_screen,proxy_score,expected_log_diameter_gain,selected,in_excellent_region
coarse,0.000000,-1800.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-600.000000,-1650.000000,True,0.065699529,0.855158744,False,0.056183527,,False,False
coarse,-450.000000,-1650.000000,True,0.065781587,0.902453578,False,0.059364829,,False,False
coarse,-300.000000,-1650.000000,True,0.056512522,0.941537242,False,0.053208644,,False,False
coarse,-150.000000,-1650.000000,True,0.038219935,0.971575153,False,0.037133539,,False,False
coarse,0.000000,-1650.000000,True,0.013443089,0.993676207,False,0.013358077,,False,False
coarse,150.000000,-1650.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,300.000000,-1650.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,450.000000,-1650.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,600.000000,-1650.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-900.000000,-1500.000000,True,0.123771829,0.690575910,False,0.085473843,,False,False
coarse,-750.000000,-1500.000000,True,0.152030188,0.759483659,False,0.115464443,,False,False
coarse,-600.000000,-1500.000000,True,0.174102670,0.820312903,False,0.142818667,,False,False
coarse,-450.000000,-1500.000000,True,0.186600191,0.871226187,False,0.162570973,,False,False
coarse,-300.000000,-1500.000000,True,0.185927092,0.912302959,False,0.169621836,,False,False
coarse,-150.000000,-1500.000000,True,0.166125072,0.945616199,False,0.157090559,,False,False
coarse,0.000000,-1500.000000,True,0.127966411,0.970138799,False,0.124145181,,False,False
coarse,150.000000,-1500.000000,True,0.072714565,0.986716954,False,0.071748694,,False,False
coarse,300.000000,-1500.000000,True,0.010037759,0.996830212,False,0.010005941,,False,False
coarse,450.000000,-1500.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,600.000000,-1500.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,750.000000,-1500.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,900.000000,-1500.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1050.000000,-1350.000000,True,0.182828093,0.556912517,False,0.101819253,,False,False
coarse,-900.000000,-1350.000000,True,0.238387108,0.637550382,False,0.151983792,,False,False
coarse,-750.000000,-1350.000000,True,0.296420048,0.709946286,False,0.210442312,,False,False
coarse,-600.000000,-1350.000000,True,0.346228866,0.776576002,False,0.268873028,,False,False
coarse,-450.000000,-1350.000000,True,0.379557103,0.835666707,False,0.317183234,,False,False
coarse,-300.000000,-1350.000000,True,0.392732134,0.883430564,False,0.346951571,,False,False
coarse,-150.000000,-1350.000000,True,0.384730159,0.919751716,False,0.353856224,,False,False
coarse,0.000000,-1350.000000,True,0.349236177,0.947081635,False,0.330755170,,False,False
coarse,150.000000,-1350.000000,True,0.286413408,0.965982122,False,0.276670232,,False,False
coarse,300.000000,-1350.000000,True,0.193531790,0.979231088,False,0.189512346,,False,False
coarse,450.000000,-1350.000000,True,0.077251662,0.990140453,False,0.076489995,,False,False
coarse,600.000000,-1350.000000,True,0.000328451,0.999720802,False,0.000328360,,False,False
coarse,750.000000,-1350.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,900.000000,-1350.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,1050.000000,-1350.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1200.000000,-1200.000000,True,0.220074481,0.395996740,False,0.087148777,,False,False
coarse,-1050.000000,-1200.000000,True,0.295701602,0.480476023,False,0.142077530,,False,False
coarse,-900.000000,-1200.000000,True,0.373952812,0.563246985,False,0.210627793,,False,False
coarse,-750.000000,-1200.000000,True,0.450744253,0.646693003,False,0.291493155,,False,False
coarse,-600.000000,-1200.000000,True,0.526999623,0.722714911,False,0.380870486,,False,False
coarse,-450.000000,-1200.000000,True,0.597484857,0.788854071,False,0.471328362,,False,False
coarse,-300.000000,-1200.000000,True,0.660850754,0.842937679,False,0.557056000,,False,False
coarse,-150.000000,-1200.000000,True,0.698960901,0.887109668,False,0.620054973,,False,False
coarse,0.000000,-1200.000000,True,0.687070323,0.917594350,False,0.630451846,,False,False
coarse,150.000000,-1200.000000,True,0.629672321,0.940700757,False,0.592333229,,False,False
coarse,300.000000,-1200.000000,True,0.529446090,0.957965250,False,0.507190956,,False,False
coarse,450.000000,-1200.000000,True,0.389549371,0.970529825,False,0.378069283,,False,False
coarse,600.000000,-1200.000000,True,0.217156828,0.982438572,False,0.213343244,,False,False
coarse,750.000000,-1200.000000,True,0.053440312,0.993554727,False,0.053095875,,False,False
coarse,900.000000,-1200.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,1050.000000,-1200.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,1200.000000,-1200.000000,False,0.000000000,0.000000000,False,0.000000000,,False,False
coarse,-1350.000000,-1050.000000,True,0.224619014,0.214955358,False,0.048283061,,False,False
coarse,-1200.000000,-1050.000000,True,0.311895055,0.298618343,False,0.093137584,,False,False
coarse,-1050.000000,-1050.000000,True,0.411196154,0.386975271,False,0.159122743,,False,False
coarse,-900.000000,-1050.000000,True,0.509499268,0.480770947,False,0.244952445,,False,False
coarse,-750.000000,-1050.000000,True,0.613633008,0.572068356,False,0.351040026,,False,False
coarse,-600.000000,-1050.000000,True,0.724070841,0.654587166,False,0.473967480,,False,False
coarse,-450.000000,-1050.000000,True,0.832663902,0.727891301,True,0.606088811,4.337841995,False,False
coarse,-300.000000,-1050.000000,True,0.930636646,0.791114458,True,0.736240106,4.956044362,False,False
coarse,-150.000000,-1050.000000,True,0.974490401,0.852354773,True,0.830611544,5.316711267,False,False
coarse,0.000000,-1050.000000,True,0.976873043,0.903050287,True,0.882165482,5.430852711,False,False
coarse,150.000000,-1050.000000,True,0.932332144,0.936639583,True,0.873259191,5.227752412,False,False
coarse,300.000000,-1050.000000,True,0.821828895,0.956122018,True,0.785768701,4.597832722,False,False
coarse,450.000000,-1050.000000,True,0.682432827,0.967929279,False,0.660546714,,False,False
coarse,600.000000,-1050.000000,True,0.512528205,0.976492561,False,0.500479980,,False,False
