source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
-800.000000,-440.000000,0.014477871685,1.000000000000,-1.000000,259.394795845,34.753896092,0.004825957228
-800.000000,-440.000000,0.014477871685,1.000000000000,0.000000,260.394795845,34.221923096,0.004825957228
-800.000000,-440.000000,0.014477871685,1.000000000000,1.000000,261.394795845,33.716105665,0.004825957228
-740.000000,-400.000000,0.014477871685,1.000000000000,-1.000000,264.314100160,32.376056613,0.004825957228
-740.000000,-400.000000,0.014477871685,1.000000000000,0.000000,265.314100160,31.959851245,0.004825957228
-740.000000,-400.000000,0.014477871685,1.000000000000,1.000000,266.314100160,31.563703565,0.004825957228
-700.000000,-380.000000,0.014477871685,1.000000000000,-1.000000,268.028978069,30.928279966,0.004825957228
-700.000000,-380.000000,0.014477871685,1.000000000000,0.000000,269.028978069,30.581880406,0.004825957228
-700.000000,-380.000000,0.014477871685,1.000000000000,1.000000,270.028978069,30.252267381,0.004825957228
-640.000000,-340.000000,0.014477871685,1.000000000000,-1.000000,274.194428908,29.044516745,0.004825957228
-640.000000,-340.000000,0.014477871685,1.000000000000,0.000000,275.194428908,28.791005988,0.004825957228
-640.000000,-340.000000,0.014477871685,1.000000000000,1.000000,276.194428908,28.550503909,0.004825957228
-600.000000,-320.000000,0.014477871685,1.000000000000,-1.000000,278.637538113,28.014802150,0.004825957228
-600.000000,-320.000000,0.014477871685,1.000000000000,0.000000,279.637538113,27.815708973,0.004825957228
-600.000000,-320.000000,0.014477871685,1.000000000000,1.000000,280.637538113,27.627781929,0.004825957228
-580.000000,-300.000000,0.014477871685,1.000000000000,-1.000000,281.171458209,27.531898401,0.004825957228
-580.000000,-300.000000,0.014477871685,1.000000000000,0.000000,282.171458209,27.360450508,0.004825957228
-580.000000,-300.000000,0.014477871685,1.000000000000,1.000000,283.171458209,27.199358609,0.004825957228
-560.000000,-300.000000,0.014477871685,1.000000000000,-1.000000,283.300277449,27.179345179,0.004825957228
-560.000000,-300.000000,0.014477871685,1.000000000000,0.000000,284.300277449,27.029608962,0.004825957228
-560.000000,-300.000000,0.014477871685,1.000000000000,1.000000,285.300277449,26.889659529,0.004825957228
-540.000000,-280.000000,0.014477871685,1.000000000000,-1.000000,286.020525612,26.794790896,0.004825957228
-540.000000,-280.000000,0.014477871685,1.000000000000,0.000000,287.020525612,26.671135773,0.004825957228
-540.000000,-280.000000,0.014477871685,1.000000000000,1.000000,288.020525612,26.556668976,0.004825957228
-520.000000,-260.000000,0.014477871685,1.000000000000,-1.000000,288.885165114,26.464958885,0.004825957228
-520.000000,-260.000000,0.014477871685,1.000000000000,0.000000,289.885165114,26.367137868,0.004825957228
-520.000000,-260.000000,0.014477871685,1.000000000000,1.000000,290.885165114,26.278012389,0.004825957228
-500.000000,-260.000000,0.014477871685,1.000000000000,-1.000000,291.011283198,26.267382235,0.004825957228
