sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
6,750.0,0.0,False,4500.0,120,114,1614.0,1210.0543003444166,1210.0543003444166,0.8840636667321674,0.0,-1800.0,-210.05430034441656,False
6,750.0,0.0,True,4500.0,140,133,1733.0,,1210.0543003444166,0.8840636667321674,0.0,-1800.0,-224.1964359681474,False
6,750.0,7.5,False,4500.0,120,114,1614.0,1210.0543003444166,1204.6129946913502,0.8838278640204362,240.0,-1780.0,-210.05430034441656,False
6,750.0,7.5,True,4500.0,140,133,1733.0,,1204.6129946913502,0.8838278640204362,240.0,-1780.0,-218.75513031508103,False
6,750.0,15.0,False,4500.0,120,114,1614.0,1210.0543003444166,1207.9812641371025,0.8841422676360778,460.0,-1740.0,-210.05430034441656,False
6,750.0,15.0,True,4500.0,140,133,1733.0,,1207.9812641371025,0.8841422676360778,460.0,-1740.0,-222.1233997608333,False
6,750.0,22.5,False,4500.0,120,114,1614.0,1210.0543003444166,1204.6129946913502,0.8838278640204362,1780.0,-240.0,-210.05430034441656,False
6,750.0,22.5,True,4500.0,140,133,1733.0,,1204.6129946913502,0.8838278640204362,1780.0,-240.0,-218.75513031508103,False
6,800.0,0.0,False,4800.0,120,114,1674.0,1177.2199612225477,1177.2199612225477,0.9308312045588524,0.0,-1800.0,-177.21996122254768,False
6,800.0,0.0,True,4800.0,140,133,1793.0,,1177.2199612225477,0.9308312045588524,0.0,-1800.0,-191.36209684627852,False
6,800.0,7.5,False,4800.0,120,114,1674.0,1177.2199612225477,1171.6506723896903,0.9302023973275693,240.0,-1780.0,-177.21996122254768,False
6,800.0,7.5,True,4800.0,140,133,1793.0,,1171.6506723896903,0.9302023973275693,240.0,-1780.0,-185.7928080134211,False
6,800.0,15.0,False,4800.0,120,114,1674.0,1177.2199612225477,1174.9694961175335,0.931538612694046,460.0,-1740.0,-177.21996122254768,False
6,800.0,15.0,True,4800.0,140,133,1793.0,,1174.9694961175335,0.931538612694046,460.0,-1740.0,-189.11163174126432,False
6,800.0,22.5,False,4800.0,120,114,1674.0,1177.2199612225477,1171.6506723896907,0.9302023973275693,1780.0,-240.0,-177.21996122254768,False
6,800.0,22.5,True,4800.0,140,133,1793.0,,1171.6506723896907,0.9302023973275693,1780.0,-240.0,-185.79280801342156,False
6,850.0,0.0,False,5100.0,120,114,1734.0,1145.6274544631067,1145.6274544631067,0.9600707408135194,0.0,-1800.0,-145.6274544631067,False
6,850.0,0.0,True,5100.0,140,133,1853.0,,1145.6274544631067,0.9600707408135194,0.0,-1800.0,-159.76959008683752,False
6,850.0,7.5,False,5100.0,120,114,1734.0,1145.6274544631067,1139.9290018431693,0.9605423462369818,240.0,-1780.0,-145.6274544631067,False
6,850.0,7.5,True,5100.0,140,133,1853.0,,1139.9290018431693,0.9605423462369818,240.0,-1780.0,-154.07113746690015,False
6,850.0,15.0,False,5100.0,120,114,1734.0,1145.6274544631067,1143.191978237736,0.9604637453330713,460.0,-1740.0,-145.6274544631067,False
6,850.0,15.0,True,5100.0,140,133,1853.0,,1143.191978237736,0.9604637453330713,460.0,-1740.0,-157.3341138614669,False
